,SMILES
0,[H]C(F)(F)C([H])([H])C(F)(F)Cl
1,[H]C(F)(Cl)C([H])([H])C(F)(F)F
2,[H]C(Cl)=C=C([H])Cl
3,[H]C([H])(F)C([H])(F)Cl
4,[H]C([H])(Cl)C(F)(F)C(F)(F)Cl
5,[H]C(F)(Cl)C([H])(Cl)C([H])(F)Cl
6,FC(Cl)(Cl)C(F)(F)C(F)(Cl)Cl
7,[H]C([H])(Cl)C([H])(Cl)C(F)(F)F
8,[H]C([H])(F)C([H])(Cl)C(F)(F)F
9,[H]C([H])(F)C([H])(Cl)C([H])(F)F
10,[H]C(F)(F)C(Cl)(Cl)C([H])(F)Cl
11,FC(F)=C(F)C(F)(Cl)Cl
12,[H]C(F)(Cl)C(F)=C(Cl)Cl
13,[H]C([H])([H])C(Cl)=C(F)F
14,[H]C([H])(F)C([H])(F)C(Cl)(Cl)Cl
15,[H]C(Cl)=C(F)C(Cl)(Cl)Cl
16,[H]C([H])([H])C(F)(F)C(F)(F)Cl
17,[H]C(F)=C=C(Cl)Cl
18,[H]C([H])(F)C(F)(Cl)C([H])([H])Cl
19,[H]C([H])(Cl)C(Cl)(Cl)C(F)(F)Cl
20,[H]C(F)(F)C([H])(Cl)C(F)(F)Cl
21,[H]C(Cl)(Cl)C(F)(F)C([H])(Cl)Cl
22,[H]C([H])([H])C([H])(F)C([H])(F)F
23,[H]C(Cl)=C=C(F)Cl
24,[H]C(F)(F)F
25,FC(F)(F)C(F)(Cl)Cl
26,[H]C(Cl)=C(Cl)C([H])(F)Cl
27,[H]C([H])([H])C(F)(F)C(Cl)(Cl)Cl
28,[H]C([H])(Cl)C(F)(Cl)C(F)(F)F
29,FC(=C(Cl)Cl)C(F)(F)F
30,[H]C(=C(Cl)Cl)C(F)(F)Cl
31,FC(Cl)=C(F)C(F)(Cl)Cl
32,[H]C([H])([H])C([H])(Cl)C([H])([H])F
33,[H]C([H])([H])C(F)(Cl)C(F)(F)Cl
34,[H]C([H])(F)C(Cl)=C(F)Cl
35,[H]C([H])(Cl)C([H])(F)C([H])([H])Cl
36,[H]C(F)=C([H])F
37,FC(F)(F)C(F)(Cl)C(Cl)(Cl)Cl
38,[H]C([H])(Cl)C([H])(F)Cl
39,[H]C([H])([H])C(Cl)(Cl)C(F)(F)Cl
40,[H]C(Cl)(Cl)C(F)(F)C(F)(F)F
41,[H]C([H])([H])C([H])([H])[H]
42,[H]C(Cl)(Cl)C([H])([H])C([H])(Cl)Cl
43,[H]C(F)=C=C([H])F
44,[H]C(F)(Cl)C(Cl)=C(F)Cl
45,[H]C(Cl)=C(Cl)C(F)(F)Cl
46,[H]C([H])([H])C([H])(F)Cl
47,[H]C(Cl)=C(Cl)C(F)(F)F
48,[H]C([H])(Cl)C(F)(F)C([H])(Cl)Cl
49,[H]C([H])(F)C([H])(F)C([H])(F)F
50,[H]C([H])([H])C(F)(F)C([H])([H])[H]
51,FC(F)=C(Cl)Cl
52,ClC(Cl)=C(Cl)Cl
53,[H]C(F)=C([H])C([H])(Cl)Cl
54,[H]C(Cl)=C(F)C([H])([H])Cl
